"cluster_code","province","division","district","n_hh","n_hh_child","n_children"
"70","AJK","Muzaffarabad","Muzaffarabad",6,4,14
"700","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,11
"702","Khyber PakhtunKhwa","DI Khan","DI Khan",6,5,8
"703","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,16
"704","Khyber PakhtunKhwa","DI Khan","DI Khan",6,5,13
"705","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,10
"706","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,8
"707","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,15
"708","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,10
"710","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,15
"711","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,14
"714","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,14
"715","Khyber PakhtunKhwa","DI Khan","DI Khan",6,3,11
"716","Khyber PakhtunKhwa","DI Khan","Tank",6,6,25
"717","Khyber PakhtunKhwa","DI Khan","Tank",6,5,15
"718","Khyber PakhtunKhwa","DI Khan","Tank",6,6,22
"719","Khyber PakhtunKhwa","DI Khan","Tank",6,5,30
"72","AJK","Muzaffarabad","Muzaffarabad",6,4,8
"73","AJK","Muzaffarabad","Muzaffarabad",5,5,16
"733","Khyber PakhtunKhwa","Hazara","Abbottabad",6,6,13
"734","Khyber PakhtunKhwa","Hazara","Abbottabad",5,5,11
"735","Khyber PakhtunKhwa","Hazara","Abbottabad",6,6,10
"736","Khyber PakhtunKhwa","Hazara","Abbottabad",6,6,18
"739","Khyber PakhtunKhwa","Hazara","Abbottabad",6,6,15
"742","Khyber PakhtunKhwa","Hazara","Abbottabad",6,5,10
"744","Khyber PakhtunKhwa","Hazara","Abbottabad",6,5,18
"746","Khyber PakhtunKhwa","Hazara","Haripur",6,4,11
"748","Khyber PakhtunKhwa","Hazara","Haripur",6,6,19
"749","Khyber PakhtunKhwa","Hazara","Haripur",5,5,11
"75","AJK","Muzaffarabad","Muzaffarabad",6,5,13
"750","Khyber PakhtunKhwa","Hazara","Haripur",6,4,13
"751","Khyber PakhtunKhwa","Hazara","Haripur",6,5,11
"752","Khyber PakhtunKhwa","Hazara","Haripur",6,4,13
"753","Khyber PakhtunKhwa","Hazara","Haripur",6,5,9
"754","Khyber PakhtunKhwa","Hazara","Haripur",6,5,16
"755","Khyber PakhtunKhwa","Hazara","Haripur",6,4,6
"756","Khyber PakhtunKhwa","Hazara","Mansehra",6,6,15
"757","Khyber PakhtunKhwa","Hazara","Mansehra",6,6,17
"758","Khyber PakhtunKhwa","Hazara","Mansehra",6,5,17
"759","Khyber PakhtunKhwa","Hazara","Mansehra",6,6,16
"760","Khyber PakhtunKhwa","Hazara","Mansehra",6,5,13
"761","Khyber PakhtunKhwa","Hazara","Mansehra",6,5,21
"762","Khyber PakhtunKhwa","Hazara","Mansehra",6,6,16
"763","Khyber PakhtunKhwa","Hazara","Mansehra",6,4,10
"766","Khyber PakhtunKhwa","Hazara","Mansehra",6,5,9
"767","Khyber PakhtunKhwa","Hazara","Mansehra",6,4,7
"768","Khyber PakhtunKhwa","Hazara","Mansehra",6,6,15
"77","AJK","Muzaffarabad","Muzaffarabad",5,2,4
"771","Khyber PakhtunKhwa","Kohat","Hangu",6,6,14
"772","Khyber PakhtunKhwa","Kohat","Hangu",6,4,16
"773","Khyber PakhtunKhwa","Kohat","Hangu",6,6,19
"774","Khyber PakhtunKhwa","Kohat","Hangu",6,4,10
"775","Khyber PakhtunKhwa","Kohat","Hangu",6,5,11
"776","Khyber PakhtunKhwa","Kohat","Hangu",6,6,14
"777","Khyber PakhtunKhwa","Kohat","Hangu",6,4,13
"778","Khyber PakhtunKhwa","Kohat","Hangu",6,4,9
"779","Khyber PakhtunKhwa","Kohat","Karak",6,5,10
"78","AJK","Muzaffarabad","Muzaffarabad",6,5,7
"780","Khyber PakhtunKhwa","Kohat","Karak",6,4,6
"783","Khyber PakhtunKhwa","Kohat","Karak",6,4,9
"784","Khyber PakhtunKhwa","Kohat","Kohat",6,6,16
"785","Khyber PakhtunKhwa","Kohat","Kohat",6,6,11
"786","Khyber PakhtunKhwa","Kohat","Kohat",5,5,15
"789","Khyber PakhtunKhwa","Kohat","Kohat",6,6,22
"79","AJK","Muzaffarabad","Muzaffarabad",5,3,10
"790","Khyber PakhtunKhwa","Kohat","Kohat",6,6,27
"791","Khyber PakhtunKhwa","Kohat","Kohat",6,6,11
"796","Khyber PakhtunKhwa","Kohat","Kohat",6,5,12
"797","Khyber PakhtunKhwa","Kohat","Kohat",3,3,6
"798","Khyber PakhtunKhwa","Kohat","Kohat",6,5,12
"799","Khyber PakhtunKhwa","Kohat","Kohat",6,3,7
"80","AJK","Muzaffarabad","Muzaffarabad",6,4,11
"800","Khyber PakhtunKhwa","Kohat","Kohat",6,6,15
"801","Khyber PakhtunKhwa","Kohat","Kohat",6,5,15
"802","Khyber PakhtunKhwa","Kohat","Kohat",6,5,8
"803","Khyber PakhtunKhwa","Kohat","Kohat",7,6,14
"806","Khyber PakhtunKhwa","Kohat","Kohat",6,6,15
"808","Khyber PakhtunKhwa","Kohat","Kohat",6,6,17
"81","AJK","Muzaffarabad","Muzaffarabad",6,5,14
"810","Khyber PakhtunKhwa","Kohat","Kohat",6,5,18
"811","Khyber PakhtunKhwa","Kohat","Kohat",6,3,10
"813","Khyber PakhtunKhwa","Kohat","Kurram Upper",6,6,18
"814","Khyber PakhtunKhwa","Kohat","Kurram Upper",6,5,13
"815","Khyber PakhtunKhwa","Kohat","Kurram Upper",6,6,20
"816","Khyber PakhtunKhwa","Kohat","Kurram Upper",6,6,18
"817","Khyber PakhtunKhwa","Malakand","Chitral Lower",6,5,13
"818","Khyber PakhtunKhwa","Malakand","Chitral Lower",6,5,15
"820","Khyber PakhtunKhwa","Malakand","Dir Lower",6,6,19
"821","Khyber PakhtunKhwa","Malakand","Dir Lower",6,6,20
"822","Khyber PakhtunKhwa","Malakand","Dir Lower",6,6,27
"823","Khyber PakhtunKhwa","Malakand","Dir Upper",6,5,33
"824","Khyber PakhtunKhwa","Malakand","Dir Upper",6,5,13
"825","Khyber PakhtunKhwa","Malakand","Malakand",6,6,22
"826","Khyber PakhtunKhwa","Malakand","Malakand",6,6,21
"827","Khyber PakhtunKhwa","Malakand","Malakand",6,6,21
"828","Khyber PakhtunKhwa","Malakand","Swat",6,6,15
"829","Khyber PakhtunKhwa","Malakand","Swat",6,6,14
"830","Khyber PakhtunKhwa","Malakand","Swat",6,6,13
"831","Khyber PakhtunKhwa","Malakand","Swat",6,6,17
"832","Khyber PakhtunKhwa","Malakand","Swat",6,6,17
"833","Khyber PakhtunKhwa","Malakand","Swat",6,5,12
"834","Khyber PakhtunKhwa","Malakand","Swat",6,5,7
"836","Khyber PakhtunKhwa","Malakand","Swat",6,6,20
"837","Khyber PakhtunKhwa","Malakand","Swat",6,6,14
"838","Khyber PakhtunKhwa","Malakand","Swat",6,6,10
"839","Khyber PakhtunKhwa","Malakand","Swat",6,6,12
"84","AJK","Muzaffarabad","Muzaffarabad",6,3,8
"840","Khyber PakhtunKhwa","Malakand","Swat",6,6,14
"841","Khyber PakhtunKhwa","Malakand","Swat",6,6,17
"843","Khyber PakhtunKhwa","Malakand","Swat",6,6,14
"844","Khyber PakhtunKhwa","Malakand","Swat",6,6,16
"845","Khyber PakhtunKhwa","Malakand","Swat",6,6,18
"847","Khyber PakhtunKhwa","Malakand","Swat",6,5,10
"848","Khyber PakhtunKhwa","Malakand","Swat",6,6,15
"849","Khyber PakhtunKhwa","Malakand","Swat",6,6,12
"850","Khyber PakhtunKhwa","Malakand","Swat",6,6,13
"851","Khyber PakhtunKhwa","Malakand","Swat",6,6,20
"853","Khyber PakhtunKhwa","Malakand","Swat",6,5,8
"854","Khyber PakhtunKhwa","Malakand","Swat",6,6,16
"856","Khyber PakhtunKhwa","Malakand","Swat",6,6,15
"857","Khyber PakhtunKhwa","Malakand","Swat",6,6,15
"858","Khyber PakhtunKhwa","Malakand","Swat",6,5,10
"859","Khyber PakhtunKhwa","Malakand","Swat",5,5,11
"860","Khyber PakhtunKhwa","Malakand","Swat",6,6,16
"861","Khyber PakhtunKhwa","Malakand","Swat",6,6,17
"863","Khyber PakhtunKhwa","Malakand","Swat",6,6,16
"864","Khyber PakhtunKhwa","Malakand","Swat",6,6,14
"865","Khyber PakhtunKhwa","Mardan","Mardan",6,6,15
"868","Khyber PakhtunKhwa","Mardan","Mardan",6,6,16
"871","Khyber PakhtunKhwa","Mardan","Mardan",6,5,6
"872","Khyber PakhtunKhwa","Mardan","Mardan",6,3,9
"873","Khyber PakhtunKhwa","Mardan","Mardan",6,5,20
"874","Khyber PakhtunKhwa","Mardan","Mardan",6,4,11
"875","Khyber PakhtunKhwa","Mardan","Mardan",6,6,18
"876","Khyber PakhtunKhwa","Mardan","Mardan",6,6,14
"878","Khyber PakhtunKhwa","Mardan","Mardan",6,4,8
"879","Khyber PakhtunKhwa","Mardan","Mardan",6,4,8
"880","Khyber PakhtunKhwa","Mardan","Mardan",6,5,20
"882","Khyber PakhtunKhwa","Mardan","Mardan",6,6,16
"884","Khyber PakhtunKhwa","Mardan","Mardan",5,5,14
"885","Khyber PakhtunKhwa","Mardan","Mardan",6,5,17
"89","AJK","Muzaffarabad","Muzaffarabad",1,1,2
"891","Khyber PakhtunKhwa","Mardan","Mardan",5,4,15
